asset,label,class,entry_date,exit_date,entry_price,exit_price,asset_return_pct,protocol,apy_pct,leverage,duration,budget,was_liquidated,total_return,profit,profit_pct,beat_morpho,beat_hold
re_chicago,Chicago,Real Estate,2021-03-14,2021-04-13,203.36,219.16,7.7695,Aave V3,2.46,1,30,19.93,False,10021.48,21.48,0.2148,True,False
re_chicago,Chicago,Real Estate,2021-03-19,2021-04-18,204.29,222.93,9.1243,Aave V3,2.46,1,30,19.93,False,10021.75,21.75,0.2175,True,False
re_chicago,Chicago,Real Estate,2021-03-24,2021-04-23,206.83,225.64,9.0944,Aave V3,2.46,1,30,19.93,False,10021.74,21.74,0.2174,True,False
re_chicago,Chicago,Real Estate,2021-03-29,2021-04-28,210.09,227.62,8.344,Aave V3,2.46,1,30,19.93,False,10021.59,21.59,0.2159,True,False
re_chicago,Chicago,Real Estate,2021-04-03,2021-05-03,213.03,230.84,8.3603,Aave V3,2.46,1,30,19.93,False,10021.59,21.59,0.2159,True,False
re_chicago,Chicago,Real Estate,2021-04-08,2021-05-08,216.1,233.87,8.223,Aave V3,2.46,1,30,19.93,False,10021.57,21.57,0.2157,True,False
re_chicago,Chicago,Real Estate,2021-04-13,2021-05-13,219.16,236.27,7.8071,Aave V3,2.46,1,30,19.93,False,10021.48,21.48,0.2148,True,False
re_chicago,Chicago,Real Estate,2021-04-18,2021-05-18,222.93,237.9,6.7151,Aave V3,2.46,1,30,19.93,False,10021.27,21.27,0.2127,True,False
re_chicago,Chicago,Real Estate,2021-04-23,2021-05-23,225.64,238.73,5.8013,Aave V3,2.46,1,30,19.93,False,10021.08,21.08,0.2108,True,False
re_chicago,Chicago,Real Estate,2021-04-28,2021-05-28,227.62,238.64,4.8414,Aave V3,2.46,1,30,19.93,False,10020.89,20.89,0.2089,True,False
re_chicago,Chicago,Real Estate,2021-05-03,2021-06-02,230.84,238.83,3.4613,Aave V3,2.46,1,30,19.93,False,10020.62,20.62,0.2062,True,False
re_chicago,Chicago,Real Estate,2021-05-08,2021-06-07,233.87,239.19,2.2748,Aave V3,2.46,1,30,19.93,False,10020.38,20.38,0.2038,True,False
re_chicago,Chicago,Real Estate,2021-05-13,2021-06-12,236.27,240.2,1.6634,Aave V3,2.46,1,30,19.93,False,10020.26,20.26,0.2026,True,False
re_chicago,Chicago,Real Estate,2021-05-18,2021-06-17,237.9,239.85,0.8197,Aave V3,2.46,1,30,19.93,False,10020.09,20.09,0.2009,False,False
re_chicago,Chicago,Real Estate,2021-05-23,2021-06-22,238.73,239.23,0.2094,Aave V3,2.46,1,30,19.93,False,10019.97,19.97,0.1997,False,False
re_chicago,Chicago,Real Estate,2021-05-28,2021-06-27,238.64,238.46,-0.0754,Aave V3,2.46,1,30,19.93,False,10019.91,19.91,0.1991,False,True
re_chicago,Chicago,Real Estate,2021-06-02,2021-07-02,238.83,238.75,-0.0335,Aave V3,2.46,1,30,19.93,False,10019.92,19.92,0.1992,False,True
re_chicago,Chicago,Real Estate,2021-06-07,2021-07-07,239.19,239.95,0.3177,Aave V3,2.46,1,30,19.93,False,10019.99,19.99,0.1999,False,False
re_chicago,Chicago,Real Estate,2021-06-12,2021-07-12,240.2,241.09,0.3705,Aave V3,2.46,1,30,19.93,False,10020.0,20.0,0.2,False,False
re_chicago,Chicago,Real Estate,2021-06-17,2021-07-17,239.85,242.03,0.9089,Aave V3,2.46,1,30,19.93,False,10020.11,20.11,0.2011,False,False
re_chicago,Chicago,Real Estate,2021-06-22,2021-07-22,239.23,242.29,1.2791,Aave V3,2.46,1,30,19.93,False,10020.18,20.18,0.2018,False,False
