asset,label,class,entry_date,exit_date,entry_price,exit_price,asset_return_pct,protocol,apy_pct,leverage,duration,budget,was_liquidated,total_return,profit,profit_pct,beat_morpho,beat_hold
re_dc,Washington DC,Real Estate,2021-03-14,2021-04-13,549.47,567.75,3.3268,Aave V3,2.46,1,30,19.93,False,10020.59,20.59,0.2059,True,False
re_dc,Washington DC,Real Estate,2021-03-19,2021-04-18,556.06,569.11,2.3469,Aave V3,2.46,1,30,19.93,False,10020.4,20.4,0.204,True,False
re_dc,Washington DC,Real Estate,2021-03-24,2021-04-23,560.93,569.49,1.526,Aave V3,2.46,1,30,19.93,False,10020.23,20.23,0.2023,True,False
re_dc,Washington DC,Real Estate,2021-03-29,2021-04-28,562.82,569.75,1.2313,Aave V3,2.46,1,30,19.93,False,10020.17,20.17,0.2017,False,False
re_dc,Washington DC,Real Estate,2021-04-03,2021-05-03,563.79,569.25,0.9684,Aave V3,2.46,1,30,19.93,False,10020.12,20.12,0.2012,False,False
re_dc,Washington DC,Real Estate,2021-04-08,2021-05-08,565.38,569.11,0.6597,Aave V3,2.46,1,30,19.93,False,10020.06,20.06,0.2006,False,False
re_dc,Washington DC,Real Estate,2021-04-13,2021-05-13,567.75,571.1,0.59,Aave V3,2.46,1,30,19.93,False,10020.05,20.05,0.2005,False,False
re_dc,Washington DC,Real Estate,2021-04-18,2021-05-18,569.11,573.77,0.8188,Aave V3,2.46,1,30,19.93,False,10020.09,20.09,0.2009,False,False
re_dc,Washington DC,Real Estate,2021-04-23,2021-05-23,569.49,575.92,1.1291,Aave V3,2.46,1,30,19.93,False,10020.15,20.15,0.2015,False,False
re_dc,Washington DC,Real Estate,2021-04-28,2021-05-28,569.75,577.07,1.2848,Aave V3,2.46,1,30,19.93,False,10020.18,20.18,0.2018,False,False
re_dc,Washington DC,Real Estate,2021-05-03,2021-06-02,569.25,579.0,1.7128,Aave V3,2.46,1,30,19.93,False,10020.27,20.27,0.2027,True,False
re_dc,Washington DC,Real Estate,2021-05-08,2021-06-07,569.11,582.25,2.3089,Aave V3,2.46,1,30,19.93,False,10020.39,20.39,0.2039,True,False
re_dc,Washington DC,Real Estate,2021-05-13,2021-06-12,571.1,582.52,1.9996,Aave V3,2.46,1,30,19.93,False,10020.33,20.33,0.2033,True,False
re_dc,Washington DC,Real Estate,2021-05-18,2021-06-17,573.77,580.79,1.2235,Aave V3,2.46,1,30,19.93,False,10020.17,20.17,0.2017,False,False
re_dc,Washington DC,Real Estate,2021-05-23,2021-06-22,575.92,580.6,0.8126,Aave V3,2.46,1,30,19.93,False,10020.09,20.09,0.2009,False,False
re_dc,Washington DC,Real Estate,2021-05-28,2021-06-27,577.07,580.25,0.5511,Aave V3,2.46,1,30,19.93,False,10020.04,20.04,0.2004,False,False
re_dc,Washington DC,Real Estate,2021-06-02,2021-07-02,579.0,578.06,-0.1623,Aave V3,2.46,1,30,19.93,False,10019.9,19.9,0.199,False,True
re_dc,Washington DC,Real Estate,2021-06-07,2021-07-07,582.25,577.57,-0.8038,Aave V3,2.46,1,30,19.93,False,10019.77,19.77,0.1977,False,True
re_dc,Washington DC,Real Estate,2021-06-12,2021-07-12,582.52,579.5,-0.5184,Aave V3,2.46,1,30,19.93,False,10019.83,19.83,0.1983,False,True
re_dc,Washington DC,Real Estate,2021-06-17,2021-07-17,580.79,582.54,0.3013,Aave V3,2.46,1,30,19.93,False,10019.99,19.99,0.1999,False,False
re_dc,Washington DC,Real Estate,2021-06-22,2021-07-22,580.6,581.64,0.1791,Aave V3,2.46,1,30,19.93,False,10019.96,19.96,0.1996,False,True
re_dc,Washington DC,Real Estate,2021-06-27,2021-07-27,580.25,579.99,-0.0448,Aave V3,2.46,1,30,19.93,False,10019.92,19.92,0.1992,False,True
re_dc,Washington DC,Real Estate,2021-07-02,2021-08-01,578.06,579.55,0.2578,Aave V3,2.46,1,30,19.93,False,10019.98,19.98,0.1998,False,False
re_dc,Washington DC,Real Estate,2021-07-07,2021-08-06,577.57,577.74,0.0294,Aave V3,2.46,1,30,19.93,False,10019.93,19.93,0.1993,False,True
re_dc,Washington DC,Real Estate,2021-07-12,2021-08-11,579.5,576.54,-0.5108,Aave V3,2.46,1,30,19.93,False,10019.83,19.83,0.1983,False,True
re_dc,Washington DC,Real Estate,2021-07-17,2021-08-16,582.54,576.37,-1.0592,Aave V3,2.46,1,30,19.93,False,10019.72,19.72,0.1972,False,True
re_dc,Washington DC,Real Estate,2021-07-22,2021-08-21,581.64,575.77,-1.0092,Aave V3,2.46,1,30,19.93,False,10019.73,19.73,0.1973,False,True
re_dc,Washington DC,Real Estate,2021-07-27,2021-08-26,579.99,574.82,-0.8914,Aave V3,2.46,1,30,19.93,False,10019.75,19.75,0.1975,False,True
re_dc,Washington DC,Real Estate,2021-08-01,2021-08-31,579.55,572.57,-1.2044,Aave V3,2.46,1,30,19.93,False,10019.69,19.69,0.1969,False,True
re_dc,Washington DC,Real Estate,2021-08-06,2021-09-05,577.74,568.08,-1.672,Aave V3,2.46,1,30,19.93,False,10019.6,19.6,0.196,False,True
