asset,label,class,entry_date,exit_date,entry_price,exit_price,asset_return_pct,protocol,apy_pct,leverage,duration,budget,was_liquidated,total_return,profit,profit_pct,beat_morpho,beat_hold
re_nyc,New York City,Real Estate,2021-03-14,2021-04-13,486.25,491.9,1.162,Aave V3,2.46,1,30,19.93,False,10020.16,20.16,0.2016,False,False
re_nyc,New York City,Real Estate,2021-03-19,2021-04-18,486.34,495.1,1.8012,Aave V3,2.46,1,30,19.93,False,10020.29,20.29,0.2029,True,False
re_nyc,New York City,Real Estate,2021-03-24,2021-04-23,486.6,495.74,1.8783,Aave V3,2.46,1,30,19.93,False,10020.3,20.3,0.203,True,False
re_nyc,New York City,Real Estate,2021-03-29,2021-04-28,485.68,495.78,2.0796,Aave V3,2.46,1,30,19.93,False,10020.34,20.34,0.2034,True,False
re_nyc,New York City,Real Estate,2021-04-03,2021-05-03,487.49,498.16,2.1888,Aave V3,2.46,1,30,19.93,False,10020.36,20.36,0.2036,True,False
re_nyc,New York City,Real Estate,2021-04-08,2021-05-08,489.35,500.94,2.3684,Aave V3,2.46,1,30,19.93,False,10020.4,20.4,0.204,True,False
re_nyc,New York City,Real Estate,2021-04-13,2021-05-13,491.9,503.75,2.409,Aave V3,2.46,1,30,19.93,False,10020.41,20.41,0.2041,True,False
re_nyc,New York City,Real Estate,2021-04-18,2021-05-18,495.1,504.49,1.8966,Aave V3,2.46,1,30,19.93,False,10020.31,20.31,0.2031,True,False
re_nyc,New York City,Real Estate,2021-04-23,2021-05-23,495.74,503.49,1.5633,Aave V3,2.46,1,30,19.93,False,10020.24,20.24,0.2024,True,False
re_nyc,New York City,Real Estate,2021-04-28,2021-05-28,495.78,502.95,1.4462,Aave V3,2.46,1,30,19.93,False,10020.22,20.22,0.2022,True,False
re_nyc,New York City,Real Estate,2021-05-03,2021-06-02,498.16,500.35,0.4396,Aave V3,2.46,1,30,19.93,False,10020.02,20.02,0.2002,False,False
re_nyc,New York City,Real Estate,2021-05-08,2021-06-07,500.94,497.18,-0.7506,Aave V3,2.46,1,30,19.93,False,10019.78,19.78,0.1978,False,True
re_nyc,New York City,Real Estate,2021-05-13,2021-06-12,503.75,495.29,-1.6794,Aave V3,2.46,1,30,19.93,False,10019.59,19.59,0.1959,False,True
re_nyc,New York City,Real Estate,2021-05-18,2021-06-17,504.49,495.71,-1.7404,Aave V3,2.46,1,30,19.93,False,10019.58,19.58,0.1958,False,True
re_nyc,New York City,Real Estate,2021-05-23,2021-06-22,503.49,499.36,-0.8203,Aave V3,2.46,1,30,19.93,False,10019.77,19.77,0.1977,False,True
re_nyc,New York City,Real Estate,2021-05-28,2021-06-27,502.95,503.36,0.0815,Aave V3,2.46,1,30,19.93,False,10019.95,19.95,0.1995,False,True
re_nyc,New York City,Real Estate,2021-06-02,2021-07-02,500.35,506.18,1.1652,Aave V3,2.46,1,30,19.93,False,10020.16,20.16,0.2016,False,False
re_nyc,New York City,Real Estate,2021-06-07,2021-07-07,497.18,511.61,2.9024,Aave V3,2.46,1,30,19.93,False,10020.51,20.51,0.2051,True,False
re_nyc,New York City,Real Estate,2021-06-12,2021-07-12,495.29,516.12,4.2056,Aave V3,2.46,1,30,19.93,False,10020.77,20.77,0.2077,True,False
re_nyc,New York City,Real Estate,2021-06-17,2021-07-17,495.71,522.69,5.4427,Aave V3,2.46,1,30,19.93,False,10021.01,21.01,0.2101,True,False
re_nyc,New York City,Real Estate,2021-06-22,2021-07-22,499.36,533.12,6.7607,Aave V3,2.46,1,30,19.93,False,10021.28,21.28,0.2128,True,False
re_nyc,New York City,Real Estate,2021-06-27,2021-07-27,503.36,543.47,7.9685,Aave V3,2.46,1,30,19.93,False,10021.52,21.52,0.2152,True,False
re_nyc,New York City,Real Estate,2021-07-02,2021-08-01,506.18,549.73,8.6037,Aave V3,2.46,1,30,19.93,False,10021.64,21.64,0.2164,True,False
re_nyc,New York City,Real Estate,2021-07-07,2021-08-06,511.61,549.83,7.4705,Aave V3,2.46,1,30,19.93,False,10021.42,21.42,0.2142,True,False
re_nyc,New York City,Real Estate,2021-07-12,2021-08-11,516.12,548.97,6.3648,Aave V3,2.46,1,30,19.93,False,10021.2,21.2,0.212,True,False
re_nyc,New York City,Real Estate,2021-07-17,2021-08-16,522.69,553.03,5.8046,Aave V3,2.46,1,30,19.93,False,10021.09,21.09,0.2109,True,False
re_nyc,New York City,Real Estate,2021-07-22,2021-08-21,533.12,559.74,4.9932,Aave V3,2.46,1,30,19.93,False,10020.92,20.92,0.2092,True,False
re_nyc,New York City,Real Estate,2021-07-27,2021-08-26,543.47,563.37,3.6617,Aave V3,2.46,1,30,19.93,False,10020.66,20.66,0.2066,True,False
re_nyc,New York City,Real Estate,2021-08-01,2021-08-31,549.73,562.05,2.2411,Aave V3,2.46,1,30,19.93,False,10020.38,20.38,0.2038,True,False
re_nyc,New York City,Real Estate,2021-08-06,2021-09-05,549.83,560.07,1.8624,Aave V3,2.46,1,30,19.93,False,10020.3,20.3,0.203,True,False
re_nyc,New York City,Real Estate,2021-08-11,2021-09-10,548.97,559.02,1.8307,Aave V3,2.46,1,30,19.93,False,10020.29,20.29,0.2029,True,False
re_nyc,New York City,Real Estate,2021-08-16,2021-09-15,553.03,558.32,0.9565,Aave V3,2.46,1,30,19.93,False,10020.12,20.12,0.2012,False,False
re_nyc,New York City,Real Estate,2021-08-21,2021-09-20,559.74,562.69,0.527,Aave V3,2.46,1,30,19.93,False,10020.03,20.03,0.2003,False,False
re_nyc,New York City,Real Estate,2021-08-26,2021-09-25,563.37,565.83,0.4367,Aave V3,2.46,1,30,19.93,False,10020.02,20.02,0.2002,False,False
re_nyc,New York City,Real Estate,2021-08-31,2021-09-30,562.05,565.86,0.6779,Aave V3,2.46,1,30,19.93,False,10020.06,20.06,0.2006,False,False
re_nyc,New York City,Real Estate,2021-09-05,2021-10-05,560.07,565.19,0.9142,Aave V3,2.46,1,30,19.93,False,10020.11,20.11,0.2011,False,False
re_nyc,New York City,Real Estate,2021-09-10,2021-10-10,559.02,566.6,1.3559,Aave V3,2.46,1,30,19.93,False,10020.2,20.2,0.202,True,False
re_nyc,New York City,Real Estate,2021-09-15,2021-10-15,558.32,569.74,2.0454,Aave V3,2.46,1,30,19.93,False,10020.34,20.34,0.2034,True,False
re_nyc,New York City,Real Estate,2021-09-20,2021-10-20,562.69,568.68,1.0645,Aave V3,2.46,1,30,19.93,False,10020.14,20.14,0.2014,False,False
re_nyc,New York City,Real Estate,2021-09-25,2021-10-25,565.83,565.41,-0.0742,Aave V3,2.46,1,30,19.93,False,10019.91,19.91,0.1991,False,True
re_nyc,New York City,Real Estate,2021-09-30,2021-10-30,565.86,564.02,-0.3252,Aave V3,2.46,1,30,19.93,False,10019.86,19.86,0.1986,False,True
re_nyc,New York City,Real Estate,2021-10-05,2021-11-04,565.19,562.02,-0.5609,Aave V3,2.46,1,30,19.93,False,10019.82,19.82,0.1982,False,True
re_nyc,New York City,Real Estate,2021-10-10,2021-11-09,566.6,558.59,-1.4137,Aave V3,2.46,1,30,19.93,False,10019.65,19.65,0.1965,False,True
re_nyc,New York City,Real Estate,2021-10-15,2021-11-14,569.74,555.6,-2.4818,Aave V3,2.46,1,30,19.93,False,10019.43,19.43,0.1943,False,True
re_nyc,New York City,Real Estate,2021-10-20,2021-11-19,568.68,553.24,-2.7151,Aave V3,2.46,1,30,19.93,False,10019.39,19.39,0.1939,False,True
re_nyc,New York City,Real Estate,2021-10-25,2021-11-24,565.41,552.14,-2.347,Aave V3,2.46,1,30,19.93,False,10019.46,19.46,0.1946,False,True
re_nyc,New York City,Real Estate,2021-10-30,2021-11-29,564.02,548.64,-2.7269,Aave V3,2.46,1,30,19.93,False,10019.39,19.39,0.1939,False,True
re_nyc,New York City,Real Estate,2021-11-04,2021-12-04,562.02,544.41,-3.1333,Aave V3,2.46,1,30,19.93,False,10019.3,19.3,0.193,False,True
re_nyc,New York City,Real Estate,2021-11-09,2021-12-09,558.59,540.63,-3.2152,Aave V3,2.46,1,30,19.93,False,10019.29,19.29,0.1929,False,True
re_nyc,New York City,Real Estate,2021-11-14,2021-12-14,555.6,535.7,-3.5817,Aave V3,2.46,1,30,19.93,False,10019.21,19.21,0.1921,False,True
re_nyc,New York City,Real Estate,2021-11-19,2021-12-19,553.24,532.47,-3.7542,Aave V3,2.46,1,30,19.93,False,10019.18,19.18,0.1918,False,True
re_nyc,New York City,Real Estate,2021-11-24,2021-12-24,552.14,533.03,-3.4611,Aave V3,2.46,1,30,19.93,False,10019.24,19.24,0.1924,False,True
re_nyc,New York City,Real Estate,2021-11-29,2021-12-29,548.64,535.14,-2.4606,Aave V3,2.46,1,30,19.93,False,10019.44,19.44,0.1944,False,True
re_nyc,New York City,Real Estate,2021-12-04,2022-01-03,544.41,536.9,-1.3795,Aave V3,2.46,1,30,19.93,False,10019.65,19.65,0.1965,False,True
re_nyc,New York City,Real Estate,2021-12-09,2022-01-08,540.63,546.04,1.0007,Aave V3,2.46,1,30,19.93,False,10020.13,20.13,0.2013,False,False
re_nyc,New York City,Real Estate,2021-12-14,2022-01-13,535.7,551.03,2.8617,Aave V3,2.46,1,30,19.93,False,10020.5,20.5,0.205,True,False
re_nyc,New York City,Real Estate,2021-12-19,2022-01-18,532.47,556.68,4.5467,Aave V3,2.46,1,30,19.93,False,10020.83,20.83,0.2083,True,False
re_nyc,New York City,Real Estate,2021-12-24,2022-01-23,533.03,562.45,5.5194,Aave V3,2.46,1,30,19.93,False,10021.03,21.03,0.2103,True,False
re_nyc,New York City,Real Estate,2021-12-29,2022-01-28,535.14,568.67,6.2657,Aave V3,2.46,1,30,19.93,False,10021.18,21.18,0.2118,True,False
re_nyc,New York City,Real Estate,2022-01-03,2022-02-02,536.9,572.64,6.6567,Aave V3,2.46,1,30,19.93,False,10021.26,21.26,0.2126,True,False
re_nyc,New York City,Real Estate,2022-01-08,2022-02-07,546.04,574.77,5.2615,Aave V3,2.46,1,30,19.93,False,10020.98,20.98,0.2098,True,False
re_nyc,New York City,Real Estate,2022-01-13,2022-02-12,551.03,578.71,5.0233,Aave V3,2.46,1,30,19.93,False,10020.93,20.93,0.2093,True,False
re_nyc,New York City,Real Estate,2022-01-18,2022-02-17,556.68,579.89,4.1694,Aave V3,2.46,1,30,19.93,False,10020.76,20.76,0.2076,True,False
re_nyc,New York City,Real Estate,2022-01-23,2022-02-22,562.45,573.04,1.8828,Aave V3,2.46,1,30,19.93,False,10020.3,20.3,0.203,True,False
re_nyc,New York City,Real Estate,2022-01-28,2022-02-27,568.67,567.54,-0.1987,Aave V3,2.46,1,30,19.93,False,10019.89,19.89,0.1989,False,True
re_nyc,New York City,Real Estate,2022-02-02,2022-03-04,572.64,564.42,-1.4355,Aave V3,2.46,1,30,19.93,False,10019.64,19.64,0.1964,False,True
re_nyc,New York City,Real Estate,2022-02-07,2022-03-09,574.77,563.94,-1.8842,Aave V3,2.46,1,30,19.93,False,10019.55,19.55,0.1955,False,True
re_nyc,New York City,Real Estate,2022-02-12,2022-03-14,578.71,564.37,-2.4779,Aave V3,2.46,1,30,19.93,False,10019.43,19.43,0.1943,False,True
re_nyc,New York City,Real Estate,2022-02-17,2022-03-19,579.89,564.14,-2.716,Aave V3,2.46,1,30,19.93,False,10019.39,19.39,0.1939,False,True
re_nyc,New York City,Real Estate,2022-02-22,2022-03-24,573.04,565.84,-1.2565,Aave V3,2.46,1,30,19.93,False,10019.68,19.68,0.1968,False,True
re_nyc,New York City,Real Estate,2022-02-27,2022-03-29,567.54,566.23,-0.2308,Aave V3,2.46,1,30,19.93,False,10019.88,19.88,0.1988,False,True
re_nyc,New York City,Real Estate,2022-03-04,2022-04-03,564.42,566.71,0.4057,Aave V3,2.46,1,30,19.93,False,10020.01,20.01,0.2001,False,False
re_nyc,New York City,Real Estate,2022-03-09,2022-04-08,563.94,569.97,1.0693,Aave V3,2.46,1,30,19.93,False,10020.14,20.14,0.2014,False,False
re_nyc,New York City,Real Estate,2022-03-14,2022-04-13,564.37,574.81,1.8499,Aave V3,2.46,1,30,19.93,False,10020.3,20.3,0.203,True,False
re_nyc,New York City,Real Estate,2022-03-19,2022-04-18,564.14,577.89,2.4373,Aave V3,2.46,1,30,19.93,False,10020.41,20.41,0.2041,True,False
re_nyc,New York City,Real Estate,2022-03-24,2022-04-23,565.84,580.16,2.5308,Aave V3,2.46,1,30,19.93,False,10020.43,20.43,0.2043,True,False
re_nyc,New York City,Real Estate,2022-03-29,2022-04-28,566.23,582.62,2.8946,Aave V3,2.46,1,30,19.93,False,10020.51,20.51,0.2051,True,False
re_nyc,New York City,Real Estate,2022-04-03,2022-05-03,566.71,586.34,3.4639,Aave V3,2.46,1,30,19.93,False,10020.62,20.62,0.2062,True,False
re_nyc,New York City,Real Estate,2022-04-08,2022-05-08,569.97,588.64,3.2756,Aave V3,2.46,1,30,19.93,False,10020.58,20.58,0.2058,True,False
re_nyc,New York City,Real Estate,2022-04-13,2022-05-13,574.81,590.03,2.6478,Aave V3,2.46,1,30,19.93,False,10020.46,20.46,0.2046,True,False
re_nyc,New York City,Real Estate,2022-04-18,2022-05-18,577.89,591.16,2.2963,Aave V3,2.46,1,30,19.93,False,10020.39,20.39,0.2039,True,False
re_nyc,New York City,Real Estate,2022-04-23,2022-05-23,580.16,592.36,2.1029,Aave V3,2.46,1,30,19.93,False,10020.35,20.35,0.2035,True,False
re_nyc,New York City,Real Estate,2022-04-28,2022-05-28,582.62,594.58,2.0528,Aave V3,2.46,1,30,19.93,False,10020.34,20.34,0.2034,True,False
re_nyc,New York City,Real Estate,2022-05-03,2022-06-02,586.34,598.44,2.0636,Aave V3,2.46,1,30,19.93,False,10020.34,20.34,0.2034,True,False
re_nyc,New York City,Real Estate,2022-05-08,2022-06-07,588.64,601.92,2.256,Aave V3,2.46,1,30,19.93,False,10020.38,20.38,0.2038,True,False
re_nyc,New York City,Real Estate,2022-05-13,2022-06-12,590.03,604.88,2.5168,Aave V3,2.46,1,30,19.93,False,10020.43,20.43,0.2043,True,False
