asset,label,class,entry_date,exit_date,entry_price,exit_price,asset_return_pct,protocol,apy_pct,leverage,duration,budget,was_liquidated,total_return,profit,profit_pct,beat_morpho,beat_hold
re_sd,San Diego,Real Estate,2021-03-14,2021-04-13,513.26,523.67,2.0282,Aave V3,2.46,1,30,19.93,False,10020.33,20.33,0.2033,True,False
re_sd,San Diego,Real Estate,2021-03-19,2021-04-18,514.75,526.74,2.3293,Aave V3,2.46,1,30,19.93,False,10020.39,20.39,0.2039,True,False
re_sd,San Diego,Real Estate,2021-03-24,2021-04-23,517.95,531.79,2.6721,Aave V3,2.46,1,30,19.93,False,10020.46,20.46,0.2046,True,False
re_sd,San Diego,Real Estate,2021-03-29,2021-04-28,518.16,534.63,3.1786,Aave V3,2.46,1,30,19.93,False,10020.56,20.56,0.2056,True,False
re_sd,San Diego,Real Estate,2021-04-03,2021-05-03,519.88,536.93,3.2796,Aave V3,2.46,1,30,19.93,False,10020.58,20.58,0.2058,True,False
re_sd,San Diego,Real Estate,2021-04-08,2021-05-08,521.98,539.2,3.299,Aave V3,2.46,1,30,19.93,False,10020.59,20.59,0.2059,True,False
re_sd,San Diego,Real Estate,2021-04-13,2021-05-13,523.67,542.48,3.592,Aave V3,2.46,1,30,19.93,False,10020.64,20.64,0.2064,True,False
re_sd,San Diego,Real Estate,2021-04-18,2021-05-18,526.74,546.21,3.6963,Aave V3,2.46,1,30,19.93,False,10020.67,20.67,0.2067,True,False
re_sd,San Diego,Real Estate,2021-04-23,2021-05-23,531.79,549.13,3.2607,Aave V3,2.46,1,30,19.93,False,10020.58,20.58,0.2058,True,False
re_sd,San Diego,Real Estate,2021-04-28,2021-05-28,534.63,550.88,3.0395,Aave V3,2.46,1,30,19.93,False,10020.53,20.53,0.2053,True,False
re_sd,San Diego,Real Estate,2021-05-03,2021-06-02,536.93,551.56,2.7247,Aave V3,2.46,1,30,19.93,False,10020.47,20.47,0.2047,True,False
re_sd,San Diego,Real Estate,2021-05-08,2021-06-07,539.2,553.83,2.7133,Aave V3,2.46,1,30,19.93,False,10020.47,20.47,0.2047,True,False
re_sd,San Diego,Real Estate,2021-05-13,2021-06-12,542.48,557.71,2.8075,Aave V3,2.46,1,30,19.93,False,10020.49,20.49,0.2049,True,False
