asset,label,class,entry_date,exit_date,entry_price,exit_price,asset_return_pct,protocol,apy_pct,leverage,duration,budget,was_liquidated,total_return,profit,profit_pct,beat_morpho,beat_hold
re_sf,San Francisco,Real Estate,2021-03-14,2021-04-13,1006.48,1038.84,3.2152,Aave V3,2.46,1,30,19.93,False,10020.57,20.57,0.2057,True,False
re_sf,San Francisco,Real Estate,2021-03-19,2021-04-18,1012.45,1037.63,2.487,Aave V3,2.46,1,30,19.93,False,10020.42,20.42,0.2042,True,False
re_sf,San Francisco,Real Estate,2021-03-24,2021-04-23,1017.36,1030.54,1.2955,Aave V3,2.46,1,30,19.93,False,10020.19,20.19,0.2019,False,False
re_sf,San Francisco,Real Estate,2021-03-29,2021-04-28,1027.36,1031.05,0.3592,Aave V3,2.46,1,30,19.93,False,10020.0,20.0,0.2,False,False
re_sf,San Francisco,Real Estate,2021-04-03,2021-05-03,1039.04,1034.26,-0.46,Aave V3,2.46,1,30,19.93,False,10019.84,19.84,0.1984,False,True
re_sf,San Francisco,Real Estate,2021-04-08,2021-05-08,1039.27,1035.4,-0.3724,Aave V3,2.46,1,30,19.93,False,10019.85,19.85,0.1985,False,True
re_sf,San Francisco,Real Estate,2021-04-13,2021-05-13,1038.84,1033.02,-0.5602,Aave V3,2.46,1,30,19.93,False,10019.82,19.82,0.1982,False,True
re_sf,San Francisco,Real Estate,2021-04-18,2021-05-18,1037.63,1028.7,-0.8606,Aave V3,2.46,1,30,19.93,False,10019.76,19.76,0.1976,False,True
re_sf,San Francisco,Real Estate,2021-04-23,2021-05-23,1030.54,1033.4,0.2775,Aave V3,2.46,1,30,19.93,False,10019.98,19.98,0.1998,False,False
re_sf,San Francisco,Real Estate,2021-04-28,2021-05-28,1031.05,1042.09,1.0708,Aave V3,2.46,1,30,19.93,False,10020.14,20.14,0.2014,False,False
re_sf,San Francisco,Real Estate,2021-05-03,2021-06-02,1034.26,1048.58,1.3846,Aave V3,2.46,1,30,19.93,False,10020.2,20.2,0.202,True,False
re_sf,San Francisco,Real Estate,2021-05-08,2021-06-07,1035.4,1055.49,1.9403,Aave V3,2.46,1,30,19.93,False,10020.32,20.32,0.2032,True,False
re_sf,San Francisco,Real Estate,2021-05-13,2021-06-12,1033.02,1062.06,2.8112,Aave V3,2.46,1,30,19.93,False,10020.49,20.49,0.2049,True,False
re_sf,San Francisco,Real Estate,2021-05-18,2021-06-17,1028.7,1066.58,3.6823,Aave V3,2.46,1,30,19.93,False,10020.66,20.66,0.2066,True,False
re_sf,San Francisco,Real Estate,2021-05-23,2021-06-22,1033.4,1070.82,3.6211,Aave V3,2.46,1,30,19.93,False,10020.65,20.65,0.2065,True,False
re_sf,San Francisco,Real Estate,2021-05-28,2021-06-27,1042.09,1071.79,2.85,Aave V3,2.46,1,30,19.93,False,10020.5,20.5,0.205,True,False
