asset,label,class,entry_date,exit_date,entry_price,exit_price,asset_return_pct,protocol,apy_pct,leverage,duration,budget,was_liquidated,total_return,profit,profit_pct,beat_morpho,beat_hold
solana,Solana,Crypto,2020-04-11,2020-05-11,0.9576,0.5418,-43.4237,Aave V3,2.46,1,30,19.93,False,10011.27,11.27,0.1127,False,True
solana,Solana,Crypto,2020-04-16,2020-05-16,0.6376,0.5564,-12.7328,Aave V3,2.46,1,30,19.93,False,10017.39,17.39,0.1739,False,True
solana,Solana,Crypto,2020-04-21,2020-05-21,0.5348,0.5796,8.3763,Aave V3,2.46,1,30,19.93,False,10021.6,21.6,0.216,True,False
solana,Solana,Crypto,2020-04-26,2020-05-26,0.6471,0.6022,-6.9326,Aave V3,2.46,1,30,19.93,False,10018.55,18.55,0.1855,False,True
solana,Solana,Crypto,2020-05-01,2020-05-31,0.6931,0.5858,-15.478,Aave V3,2.46,1,30,19.93,False,10016.84,16.84,0.1684,False,True
solana,Solana,Crypto,2020-05-06,2020-06-05,0.6503,0.5868,-9.7727,Aave V3,2.46,1,30,19.93,False,10017.98,17.98,0.1798,False,True
solana,Solana,Crypto,2020-05-11,2020-06-10,0.5418,0.6554,20.9755,Aave V3,2.46,1,30,19.93,False,10024.11,24.11,0.2411,True,False
solana,Solana,Crypto,2020-05-16,2020-06-15,0.5564,0.5862,5.3463,Aave V3,2.46,1,30,19.93,False,10020.99,20.99,0.2099,True,False
solana,Solana,Crypto,2020-05-21,2020-06-20,0.5796,0.6861,18.3762,Aave V3,2.46,1,30,19.93,False,10023.59,23.59,0.2359,True,False
solana,Solana,Crypto,2020-05-26,2020-06-25,0.6022,0.7362,22.2531,Aave V3,2.46,1,30,19.93,False,10024.36,24.36,0.2436,True,False
solana,Solana,Crypto,2020-05-31,2020-06-30,0.5858,0.8531,45.6312,Aave V3,2.46,1,30,19.93,False,10029.02,29.02,0.2902,True,False
solana,Solana,Crypto,2020-06-05,2020-07-05,0.5868,0.7812,33.1368,Aave V3,2.46,1,30,19.93,False,10026.53,26.53,0.2653,True,False
solana,Solana,Crypto,2020-06-10,2020-07-10,0.6554,0.8505,29.7611,Aave V3,2.46,1,30,19.93,False,10025.86,25.86,0.2586,True,False
solana,Solana,Crypto,2020-06-15,2020-07-15,0.5862,1.1484,95.904,Aave V3,2.46,1,30,19.93,False,10039.04,39.04,0.3904,True,False
solana,Solana,Crypto,2020-06-20,2020-07-20,0.6861,0.9224,34.4483,Aave V3,2.46,1,30,19.93,False,10026.79,26.79,0.2679,True,False
solana,Solana,Crypto,2020-06-25,2020-07-25,0.7362,0.9962,35.3088,Aave V3,2.46,1,30,19.93,False,10026.97,26.97,0.2697,True,False
solana,Solana,Crypto,2020-06-30,2020-07-30,0.8531,1.6572,94.2492,Aave V3,2.46,1,30,19.93,False,10038.71,38.71,0.3871,True,False
solana,Solana,Crypto,2020-07-05,2020-08-04,0.7812,1.8004,130.4651,Aave V3,2.46,1,30,19.93,False,10045.93,45.93,0.4593,True,False
solana,Solana,Crypto,2020-07-10,2020-08-09,0.8505,2.4734,190.8248,Aave V3,2.46,1,30,19.93,False,10057.96,57.96,0.5796,True,False
solana,Solana,Crypto,2020-07-15,2020-08-14,1.1484,3.7337,225.1322,Aave V3,2.46,1,30,19.93,False,10064.79,64.79,0.6479,True,False
solana,Solana,Crypto,2020-07-20,2020-08-19,0.9224,3.3311,261.1149,Aave V3,2.46,1,30,19.93,False,10071.97,71.97,0.7197,True,False
solana,Solana,Crypto,2020-07-25,2020-08-24,0.9962,3.3299,234.2621,Aave V3,2.46,1,30,19.93,False,10066.61,66.61,0.6661,True,False
solana,Solana,Crypto,2020-07-30,2020-08-29,1.6572,4.0114,142.061,Aave V3,2.46,1,30,19.93,False,10048.24,48.24,0.4824,True,False
