asset,label,class,protocol,apy,apy_pct,leverage,duration,budget,sims,prot_rate,liq_rate,avg_pct,avg_ann_pct,best_pct,worst_pct,median_pct,p10_pct,p25_pct,p75_pct,p90_pct,beat_morpho,beat_hold
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,1,30,19.93,4042,100.0,0.0,0.2018,2.46,0.25,0.17,0.2,0.19,0.19,0.21,0.22,45.89,46.36
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,1,60,39.82,4012,100.0,0.0,0.4081,2.48,0.53,0.31,0.41,0.37,0.39,0.43,0.45,53.71,40.95
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,1,90,59.67,3982,100.0,0.0,0.6184,2.51,0.87,0.45,0.62,0.55,0.58,0.65,0.69,59.22,36.92
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,1,120,79.48,3952,100.0,0.0,0.8328,2.53,1.25,0.58,0.83,0.72,0.77,0.89,0.95,59.77,37.27
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,1,180,118.98,3892,100.0,0.0,1.2721,2.58,1.96,0.81,1.24,1.08,1.14,1.4,1.5,57.35,40.98
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,1,270,177.94,3802,100.0,0.0,1.9556,2.64,3.59,1.21,1.87,1.58,1.71,2.19,2.43,58.15,40.9
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,1,365,239.79,3707,100.0,0.0,2.7031,2.7,5.18,1.73,2.56,2.0,2.33,3.06,3.55,60.18,39.82
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,2,30,19.93,4042,100.0,0.0,0.2044,2.49,0.29,0.14,0.2,0.18,0.19,0.22,0.23,50.49,46.36
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,2,60,39.82,4012,100.0,0.0,0.4181,2.54,0.67,0.22,0.42,0.35,0.37,0.46,0.5,57.73,40.95
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,2,90,59.67,3982,100.0,0.0,0.6402,2.6,1.14,0.3,0.64,0.5,0.56,0.71,0.78,62.41,36.94
gold,Gold (XAU),Commodities,Aave V3,0.0245678,2.46,2,120,79.48,3952,100.0,0.0,0.8708,2.65,1.7,0.37,0.86,0.65,0.74,0.99,1.1,62.7,37.27
